date_time,"boston,ma_maxtempC","boston,ma_mintempC","boston,ma_totalSnow_cm","boston,ma_sunHour","boston,ma_uvIndex","boston,ma_moon_illumination","boston,ma_moonrise","boston,ma_moonset","boston,ma_sunrise","boston,ma_sunset","boston,ma_DewPointC","boston,ma_FeelsLikeC","boston,ma_HeatIndexC","boston,ma_WindChillC","boston,ma_WindGustKmph","boston,ma_cloudcover","boston,ma_humidity","boston,ma_precipMM","boston,ma_pressure","boston,ma_tempC","boston,ma_visibility","boston,ma_winddirDegree","boston,ma_windspeedKmph","boston,ma_location"
2016-03-15,7,5,0.0,6.0,2,44,11:39 AM,01:32 AM,06:55 AM,06:51 PM,6,3,6,3,29,100,96,7.4,1012,7,7,96,18,"boston,ma"
2016-03-16,9,5,0.0,6.0,2,51,12:33 PM,02:29 AM,06:54 AM,06:52 PM,5,5,7,5,14,94,89,0.1,1010,9,10,218,10,"boston,ma"
2016-03-17,16,5,0.0,8.8,3,58,01:30 PM,03:20 AM,06:52 AM,06:54 PM,5,9,10,9,13,74,74,0.0,1008,16,7,250,9,"boston,ma"
2016-03-18,11,2,0.0,8.8,3,65,02:28 PM,04:04 AM,06:50 AM,06:55 PM,0,4,7,4,23,49,64,0.5,1007,11,10,282,16,"boston,ma"
2016-03-19,6,-1,0.0,11.6,2,73,03:28 PM,04:44 AM,06:48 AM,06:56 PM,-10,-0,3,-0,15,8,41,0.0,1018,6,10,323,11,"boston,ma"
2016-03-20,2,-2,0.2,8.8,2,80,04:27 PM,05:19 AM,06:47 AM,06:57 PM,-8,-3,1,-3,14,42,54,0.2,1021,2,9,51,12,"boston,ma"
2016-03-21,4,-2,3.7,8.8,1,87,05:25 PM,05:51 AM,06:45 AM,06:58 PM,-1,-3,0,-3,18,72,91,4.6,1009,4,5,233,12,"boston,ma"
2016-03-22,6,-2,0.0,11.6,2,94,06:23 PM,06:20 AM,06:43 AM,06:59 PM,-1,-1,2,-1,22,17,79,0.0,1016,6,10,249,14,"boston,ma"
2016-03-23,16,5,0.0,6.3,2,100,07:20 PM,06:49 AM,06:41 AM,07:01 PM,6,6,8,6,22,97,87,3.5,1015,16,9,160,14,"boston,ma"
2016-03-24,5,3,0.0,6.3,1,100,08:17 PM,07:18 AM,06:40 AM,07:02 PM,2,0,4,0,21,93,87,2.2,1021,5,10,63,15,"boston,ma"
2016-03-25,9,3,0.0,6.3,2,84,09:14 PM,07:47 AM,06:38 AM,07:03 PM,5,5,6,5,13,87,90,2.3,1011,9,8,186,8,"boston,ma"
2016-03-26,6,-1,0.0,10.3,2,76,10:10 PM,08:17 AM,06:36 AM,07:04 PM,1,2,4,2,12,36,80,0.0,1026,6,10,141,10,"boston,ma"
